Name,LivePerson,Website
American National University,Yes,https://an.edu/
Appalachian College of Pharmacy,,https://www.acp.edu/resources/student-services/
Appalachian School of Law,,https://www.asl.edu/
Averett University,403,https://gps.averett.edu/live-chat-thank-you/
Bluefield University,403,https://www.bluefield.edu/admissions/
Blue Ridge Community College,403,https://www.blueridge.edu/services-support/technology-support/
Bridgewater College,,https://www.bridgewater.edu/life-at-bridgewater/services-for-students/academic-advising-and-support/
Central Virginia Community College,ERROR,
Christendom College,403,https://www.christendom.edu/about/contact/
Christopher Newport University,,https://cnu.edu/its/
College of William and Mary,,https://www.wm.edu/offices/it/services/support/chat/index.php
Mountain Gateway Community College,,https://www.mgcc.edu/student-support
Danville Community College,,https://www.danville.edu/student-resources
Divine Mercy University,,https://divinemercy.edu/student-services/
Eastern Mennonite University,,https://emu.edu/contact/
Eastern Shore Community College,403,https://es.vccs.edu/
Eastern Virginia Medical School,,https://www.evms.edu/contact_us/
ECPI University,,https://www.ecpi.edu/contact-ecpi
Emory and Henry College,,https://www.ehc.edu/contact-us/
Fairfax University of America,,https://www.fxua.edu/library/contact-us/
Ferrum College,,https://www.ferrum.edu/information-services/
George Mason University,403,https://www.gmu.edu/admissions-aid/contact-us
George Washington University,,https://gwtoday.gwu.edu/it-support-center-introduces-live-chat-assistance
Germanna Community College,403,https://mysupport.germanna.edu/
Hampden-Sydney College,,https://hscathletics.com/coverage
Hampton University,,https://home.hamptonu.edu/cit/contact-us/
Hollins University,,https://www.hollins.edu/offices-and-services/information-technology-it/
Institute for the Psychological Sciences,,https://www.wm.edu/as/psych-sciences/support/index.php
J. Sargeant Reynolds Community College,403,https://mysupport.reynolds.edu/
James Madison University,,https://www.jmu.edu/contact-us.shtml
Jefferson College of Health Sciences,ERROR,
Brightpoint Community College,,https://www.brightpoint.edu/services/help-hub/
Liberty University,,https://www.liberty.edu/online/chat-live/
Longwood University,,http://www.longwood.edu/usersupport/
Laurel Ridge Community College,403,https://laurelridge.edu/contact-us/
University of Lynchburg,,https://www.lynchburg.edu/about/contact-us/
Marine Corps University,,https://www.usmcu.edu/IT-ET-Group/Helpdesk/
Mary Baldwin University,403,https://go.marybaldwin.edu/oit/help/
Marymount University,,https://marymount.edu/academics/library-learning-services/faculty-staff-directory/chat/
