Name,LivePerson,Website
5N Plus,,https://www.5nplus.com/contact-us.html
A&W (Canada),,https://awrestaurants.com/contact
Absolute Software Corporation,,https://www.absolute.com/reusable-content/live-chat/
Advantage Energy,,https://www.facebook.com/yourenergyexperts/
Aecon,,https://support.aecon.com/
Agnico Eagle,,https://www.agnicoeagle.com/English/contact-us/default.aspx
Aimia (company),,https://www.aimia.com/
Air Canada,,https://www.aircanada.com/us/en/aco/home/fly/customer-support.html
AirBoss of America,,https://airboss.com/contact-us/
Alamos Gold,,https://alamosgold.com/
Algoma Central,,https://www.algonet.com/
Algoma Steel,,https://algoma.com/contact-us/
Algonquin Power & Utilities,,https://algonquinpower.com/contact.html
Allkem,,https://www.allkem.co/news
Almonty Industries,,https://almonty.com/investors/news/
AltaGas,,https://www.altagas.ca/contact
Altus Group,,https://www.altusgroup.com/support/
Antibe Therapeutics,,https://ca.finance.yahoo.com/quote/ATE.TO/community/
ARC Resources,ERROR,https://www.arcresources.com/contact-us/
Aritzia,ERROR,
ATCO,ERROR,
Athabasca Oil Corporation,ERROR,
ATS Automation Tooling Systems,ERROR,
Aura Minerals,ERROR,
Aurora Cannabis,ERROR,
AutoCanada,ERROR,
Avalon Rare Metals,ERROR,
B2Gold,ERROR,
Badger Daylighting,ERROR,
Ballard Power Systems,ERROR,
Bank of Montreal,ERROR,
Barrick Gold,ERROR,
Bausch & Lomb,ERROR,
Bausch Health,ERROR,
Baytex Energy,ERROR,
BCE Inc.,ERROR,
Big Rock Brewery,ERROR,
BlackBerry Limited,ERROR,
Boardwalk Real Estate Investment Trust,ERROR,
Boat Rocker Media,ERROR,
Bombardier Inc.,ERROR,
Bombardier Recreational Products,ERROR,
Boralex,ERROR,
Boston Pizza,ERROR,
BroadbandTV Corp,ERROR,
Brookfield Business Partners,ERROR,
Brookfield Corporation,ERROR,
Brookfield Infrastructure Partners,ERROR,
Brookfield Property Partners,ERROR,
Brookfield Renewable Partners,ERROR,
Buhler Industries,ERROR,
CAE Inc.,ERROR,
Calfrac Well Services,ERROR,
Calian,ERROR,
Cameco,ERROR,
Canaccord Genuity,ERROR,
Canada Goose (clothing),ERROR,
Canadian Imperial Bank of Commerce,ERROR,
Canadian National Railway,ERROR,
Canadian Natural Resources,ERROR,
Canadian Pacific Kansas City,ERROR,
Canadian Tire,ERROR,
Canadian Utilities,ERROR,
Canadian Western Bank,ERROR,
Candente Copper,ERROR,
Canfor,ERROR,
Charlotte's Web (cannabis),ERROR,
Canopy Growth,ERROR,
Capital Power Corporation,ERROR,
CAPREIT,ERROR,
Capstone Infrastructure,ERROR,
Cargojet,ERROR,
Caribbean Utilities,ERROR,
Cascades (company),ERROR,
CCL Industries,ERROR,
Celestica,ERROR,
Cenovus Energy,ERROR,
Centamin,ERROR,
Centerra Gold,ERROR,
CGI Inc.,ERROR,
Chartwell Retirement Residences,ERROR,
China Gold International Resources Corporation,ERROR,
Choice Properties REIT,ERROR,
Chorus Aviation,ERROR,
CI Financial,ERROR,
Cineplex Entertainment,ERROR,
Clublink,ERROR,
Cogeco,ERROR,
Colliers (company),ERROR,
Computer Modelling Group,ERROR,
Constellation Software,ERROR,
Corby Spirit and Wine,ERROR,
Corus Entertainment,ERROR,
Alimentation Couche-Tard,ERROR,
Coveo,ERROR,
Crescent Point Energy,ERROR,
Crew Energy,ERROR,
Crombie REIT,ERROR,
Currency Exchange International,ERROR,
D-Box Technologies,ERROR,
D2L,ERROR,
Denison Mines,ERROR,
Descartes Systems Group,ERROR,
Docebo,ERROR,
Dollarama,ERROR,
Dorel Industries,ERROR,
Dream Office Real Estate Investment Trust,ERROR,
Dundee Corporation,ERROR,
ECN Capital,ERROR,
Ecora Resources,ERROR,
Eldorado Gold,ERROR,
Electrovaya,ERROR,
Emera,ERROR,
Empire Company,ERROR,
Empire Life,ERROR,
Enbridge,ERROR,
Endeavour Mining,ERROR,
Enerflex,ERROR,
Enerplus,ERROR,
Ensign Energy Services,ERROR,
Enthusiast Gaming,ERROR,
Equitable Bank,ERROR,
Evertz Microsystems,ERROR,
Exco Technologies,ERROR,
Extendicare,ERROR,
Fairfax Financial,ERROR,
Finning,ERROR,
First Capital REIT,ERROR,
First Majestic Silver,ERROR,
First Quantum Minerals,ERROR,
FirstService,ERROR,
Forsys Metals,ERROR,
Fortis Inc.,ERROR,
Fortuna Silver Mines,ERROR,
Franco-Nevada,ERROR,
